序号,位移响应
697,2.6561196031067096e-07
698,2.764117602968391e-07
699,2.872720866753711e-07
700,2.981425244308107e-07
701,3.0897268308826294e-07
702,3.1971243954439417e-07
703,3.3031217930138815e-07
704,3.407230349451513e-07
705,3.508971207239072e-07
706,3.607877621033833e-07
707,3.7034971920047466e-07
708,3.7953940302797525e-07
709,3.883150835189047e-07
710,3.9663708833979966e-07
711,4.044679915477664e-07
712,4.1177279119618257e-07
713,4.1851907504810316e-07
714,4.246771736146454e-07
715,4.3022029979761124e-07
716,4.3512467448071736e-07
717,4.3936963748233804e-07
718,4.429377433536367e-07
719,4.45814841579537e-07
720,4.479901408153992e-07
721,4.4945625686957723e-07
722,4.5020924422043245e-07
723,4.502486109358981e-07
724,4.4957731694352804e-07
725,4.482017556791586e-07
726,4.4613171922219567e-07
727,4.4338034710472025e-07
728,4.3996405906002614e-07
729,4.3590247205296767e-07
730,4.312183020097596e-07
731,4.259372507379352e-07
732,4.200878785977624e-07
733,4.1370146355438425e-07
734,4.0681184730453895e-07
735,3.994552692332952e-07
736,3.916701890136188e-07
737,3.83497098715561e-07
738,3.7497832534103685e-07
739,3.661578247453865e-07
740,3.5708096794714836e-07
741,3.477943208628387e-07
742,3.383454185342901e-07
743,3.2878253494103856e-07
744,3.1915444951051823e-07
745,3.095102114533653e-07
746,2.9989890306036446e-07
747,2.90369403101315e-07
748,2.8097015146438356e-07
749,2.717489161672329e-07
750,2.627525638587017e-07
751,2.5402683491168126e-07
752,2.4561612418471054e-07
753,2.3756326850123854e-07
754,2.299093418622559e-07
755,2.2269345936958082e-07
756,2.1595259079423918e-07
757,2.0972138467701863e-07
758,2.0403200379662662e-07
759,1.9891397278545025e-07
760,1.9439403861355683e-07
761,1.9049604459909718e-07
762,1.872408185374093e-07
763,1.8464607547269214e-07
764,1.8272633556515707e-07
765,1.8149285743352018e-07
766,1.8095358727779873e-07
767,1.8111312401139827e-07
768,1.8197270055395545e-07
769,1.835301813588555e-07
770,1.8578007617091518e-07
771,1.8871356993189128e-07
772,1.9231856867375252e-07
773,1.965797611630225e-07
774,2.0147869598395117e-07
775,2.0699387367430988e-07
776,2.131008534556358e-07
777,2.1977237402998038e-07
778,2.2697848784810003e-07
779,2.346867081897936e-07
780,2.42862168336119e-07
781,2.5146779205577246e-07
782,2.604644745741741e-07
783,2.6981127314430394e-07
784,2.79465606292811e-07
